,운전 누적 시간,현재 상태,1-수소공급량,2-수소공급량,1-산소공급량,2-산소공급량,1-버너회전수,2-버너회전수,1-버너속도,2-버너속도,1-핀치횟수,2-핀치횟수,핀치두께-상,핀치두께-중,핀치두께-하,핀치두께2-상,핀치두께2-중,핀치두께2-하,전극간격,채널,전압(1차),전류(1차),역률(1차),전력(1차),온도(1차),전압(2차),전류(2차),역률(2차),전력(2차),온도(2차),강도,"Pinch No.1
정면부 측정 편차","Pinch No.2
정면부 측정 편차","Pinch No.1
측면부 측정 편차","Pinch No.2
측면부 측정 편차"
45,13303,0,103.66199999999999,97.017,98.346,102.333,25.250999999999998,23.922,53.16,53.16,903.72,903.72,4.41228,4.47873,4.45215,4.3989899999999995,4.43886,4.42557,445.99911,1.0,516.11715,33.80976,122.268,20.798849999999998,18.605999999999998,646.18638,11.38953,132.60762,4.9040099999999995,112.965,445.215,0.0,0.0,0.0,0.0
46,46782,1,103.66199999999999,97.017,98.346,102.333,25.250999999999998,23.922,53.16,53.16,895.746,895.746,4.41228,4.47873,4.46544,4.3857,4.43886,4.3989899999999995,445.93266,3.0,504.42195,34.460969999999996,122.29458,20.758979999999998,15.948,642.41202,11.1636,132.48801,4.797689999999999,112.965,419.964,0.0,0.0,0.0,0.0
47,46782,1,103.66199999999999,97.017,98.346,102.333,25.250999999999998,23.922,53.16,53.16,901.062,901.062,4.34583,4.45215,4.3989899999999995,4.27938,4.34583,4.30596,445.89279,4.0,504.42195,34.460969999999996,122.29458,20.758979999999998,15.948,651.3163199999999,11.376240000000001,132.71394,4.95717,112.965,514.323,0.0,0.0,0.0,0.0
48,52062,1,103.66199999999999,97.017,98.346,102.333,25.250999999999998,23.922,53.16,53.16,924.9839999999999,924.9839999999999,4.545179999999999,4.61163,4.61163,4.598339999999999,4.545179999999999,4.61163,445.93266,1.0,513.29967,33.76989,122.25470999999999,20.66595,18.605999999999998,640.95012,11.38953,132.52787999999998,4.86414,120.939,445.215,0.0,0.0,0.0,0.0
50,26143,1,103.66199999999999,97.017,98.346,102.333,25.250999999999998,23.922,53.16,53.16,934.2869999999999,934.2869999999999,4.6249199999999995,4.66479,4.6514999999999995,4.35912,4.41228,4.3989899999999995,446.30478,3.0,515.87793,33.46422,122.25470999999999,20.54634,19.935,649.7215199999999,11.28321,132.16905,4.8774299999999995,122.268,422.622,0.0,0.0,0.0,0.0
54,27505,0,104.991,99.675,97.017,93.03,22.593,19.935,53.16,53.16,373.449,373.449,4.53189,4.545179999999999,4.5186,4.545179999999999,4.571759999999999,4.53189,443.87271,1.0,504.91368,47.312400000000004,131.94312,30.766349999999996,14.619,644.37894,11.32308,132.68736,4.8774299999999995,101.00399999999999,438.57,0.0,0.0,0.0,0.0
55,9222,1,104.991,99.675,97.017,93.03,22.593,19.935,53.16,53.16,374.77799999999996,374.77799999999996,4.50531,4.55847,4.50531,4.50531,4.53189,4.49202,443.95245,2.0,504.91368,47.312400000000004,131.94312,30.766349999999996,14.619,641.57475,11.17689,132.54117,4.7844,101.00399999999999,310.986,0.0,0.0,0.0,0.0
56,18283,0,104.991,101.00399999999999,97.017,93.03,22.593,19.935,53.16,53.16,382.752,382.752,4.598339999999999,4.55847,4.58505,4.6514999999999995,4.63821,4.63821,443.68665000000004,1.0,506.26926,47.07318,131.90324999999999,30.686609999999998,17.277,640.72419,11.349659999999998,132.62091,4.850849999999999,132.9,427.938,0.0,0.0,0.0,0.0
57,28560,0,104.991,99.675,97.017,93.03,22.593,19.935,53.16,53.16,376.10699999999997,376.10699999999997,4.49202,4.53189,4.50531,4.5186,4.55847,4.5186,444.52392000000003,3.0,504.91368,47.312400000000004,131.94312,30.766349999999996,14.619,635.83347,11.30979,132.16905,4.75782,101.00399999999999,419.964,0.0,0.0,0.0,0.0
58,28560,0,104.991,99.675,97.017,93.03,22.593,19.935,53.16,53.16,377.436,377.436,4.53189,4.58505,4.53189,4.53189,4.55847,4.5186,444.93591000000004,4.0,504.91368,47.312400000000004,131.94312,30.766349999999996,14.619,629.34795,11.549009999999999,132.47472000000002,4.797689999999999,101.00399999999999,510.336,0.0,0.0,0.0,0.0
59,28560,0,104.991,101.00399999999999,97.017,93.03,22.593,19.935,53.16,53.16,380.094,380.094,4.49202,4.53189,4.46544,4.53189,4.55847,4.5186,443.87271,5.0,504.91368,47.312400000000004,131.94312,30.766349999999996,14.619,637.48143,11.38953,132.66078,4.824269999999999,101.00399999999999,535.587,0.0,0.0,0.0,0.0
